ID #	Class	Incidence	Occurence   :	Total	ID 1	ID 2	ID 3	ID 4	ID 5	ID 6	ID 7	ID 8	ID 9	ID 10	ID 11	ID 12	ID 13	ID 14	ID 15	ID 16	ID 17	ID 18	ID 19	ID 20	ID 21	ID 22	ID 23	ID 24	ID 25	ID 26	ID 27	ID 28	ID 29	ID 30	ID 31	ID 32	ID 33	ID 34	ID 35	ID 36	ID 37	ID 38	ID 39	ID 40	ID 41
				Contact Time :
1	1	40				728	0	9	15	16	16	25	12	25	22	5	9	3	17	12	19	26	24	3	30	15	6	17	9	75	11	11	29	11	58	10	4	21	15	31	19	18	19	4	15	25	17
						176165	0	358	1468	630	4677	1588	397	1719	1574	489	5360	470	1974	2667	742	3760	4406	233	8358	4811	6	1844	264	6101	2877	1691	5185	718	72528	2505	4	3587	1786	7711	4098	4928	1847	130	3419	4110	5145

2	1	38				359	4	0	17	11	10	8	6	6	13	13	3	0	10	12	15	7	3	2	10	2	13	8	30	13	4	8	19	3	11	4	0	9	8	21	11	7	5	6	12	12	3
						49944	11	0	1280	391	963	251	6	232	1962	749	3	0	741	3504	513	608	10	240	945	370	1464	8	18016	1919	491	376	4886	3	710	4	0	370	8	1595	3264	262	389	503	2405	252	240

3	1	40				528	10	14	0	26	13	8	5	18	13	17	10	2	15	9	16	15	9	7	8	15	18	21	6	9	18	22	18	9	5	10	1	30	13	16	25	6	8	6	19	28	10
						67632	120	1459	0	2047	2517	355	16	1424	1242	2390	1299	9	2021	1550	4410	1584	1331	398	1203	2060	751	1971	627	958	4902	5585	4571	137	1271	131	1	3193	971	2881	2309	383	1218	254	2269	3750	2064

4	1	39				717	8	10	21	0	9	17	19	22	20	26	22	2	11	18	13	25	16	14	20	10	17	33	12	16	17	19	24	21	27	19	0	27	14	18	28	17	23	19	20	28	15
						128051	2259	152	4592	0	2495	3143	2028	3307	727	3572	7976	2	2516	2445	4087	2253	3072	853	1186	1436	2079	5317	2059	2431	3464	2214	4220	4749	5341	2902	0	11977	126	1935	6420	985	7721	2540	4528	6289	2653

5	1	39				532	18	6	18	14	0	12	13	17	26	9	10	0	14	10	18	17	12	7	14	8	8	16	10	22	20	12	13	7	13	24	6	11	12	13	14	12	9	14	10	31	12
						84793	2378	727	2950	1444	0	751	3654	1315	6342	611	127	0	5542	872	1244	3196	6489	839	3836	614	478	1476	10	4404	510	2998	1683	379	1398	6185	842	1666	2061	979	1473	1577	641	1820	376	10177	729

6	1	38				500	22	7	6	17	9	0	21	25	16	12	4	0	12	17	25	11	13	5	16	2	3	11	17	20	13	15	19	7	16	3	0	18	17	10	22	8	14	12	10	23	2
						88033	2688	364	420	2304	1209	0	6644	4219	2117	1614	1065	0	1200	1958	3040	1277	1096	4739	3675	2	121	610	5755	7175	2828	1464	2572	594	875	248	0	2834	13175	852	3038	370	505	263	373	4621	129

7	1	39				497	6	7	5	15	10	18	0	17	15	16	3	2	15	19	21	14	9	31	23	7	11	19	6	20	12	6	11	2	19	5	0	10	22	13	9	15	5	17	16	20	6
						217756	364	379	12	1783	4209	8229	0	2562	2200	3495	3	2	1357	3367	3491	1559	133	132755	3787	7	4788	4694	599	4344	3288	455	2302	2	7024	2535	0	2048	5367	1103	956	1311	5	1522	2975	1451	1293

8	1	39				675	20	6	9	21	19	23	15	0	13	28	10	0	27	9	19	15	22	9	18	5	7	18	22	12	18	21	17	13	22	12	3	19	10	16	20	20	22	13	51	40	11
						112608	497	372	1589	2066	2035	3651	1543	0	969	3424	810	0	2330	608	4556	1097	3855	3310	1171	5	9	1411	2171	2000	5503	6738	2526	1446	2190	603	602	3260	5729	632	2815	621	4595	1276	24116	9352	1125

9	1	39				556	15	13	12	14	29	14	16	14	0	16	5	12	62	20	22	19	6	10	18	12	7	15	6	18	12	11	15	4	17	24	0	6	7	18	9	5	18	11	11	6	7
