# Format: user_id;user_id;time_added
1;10;40967
1;69;194434
3;56;38211
3;33;100557
3;4;114167
3;31;122496
5;35;31376
5;60;31389
5;6;31922
6;5;36047
8;27;117656
8;45;192689
8;29;192705
8;49;192715
8;17;201264
9;43;17002
10;33;53681
12;19;36318
12;43;36345
12;39;65900
15;7;27356
15;57;27371
15;11;90115
17;8;200341
17;49;200428
17;32;201037
17;29;201344
22;65;10159
22;33;11958
22;48;12149
22;49;20138
22;21;21350
22;76;22694
22;10;40145
22;9;52102
22;32;88510
22;27;89940
22;57;90461
22;31;90683
22;40;106734
22;2;110151
22;56;110712
22;60;127969
22;11;129262
22;36;185223
22;63;193741
22;39;194255
22;25;194681
24;38;4272
24;19;4438
24;64;4607
24;58;4750
24;11;26449
24;57;26958
24;63;27382
25;38;12763
25;19;36400
25;39;184226
29;33;5549
29;41;7344
29;52;16245
29;45;17520
29;8;190485
29;49;190506
29;17;201483
30;74;113315
31;74;48595
31;43;48708
32;3;1510
32;45;5884
32;35;53423
32;43;53569
32;47;97401
32;36;106543
32;76;123250
32;61;123272
32;57;180677
32;22;184931
32;17;205784
33;45;12564
33;34;12573
33;29;12584
33;52;13537
33;43;53481
33;22;195409
33;61;196155
34;75;3053
34;46;5590
34;47;5666
34;52;10069
34;41;12047
34;60;13456
34;56;42739
34;9;42896
34;48;101518
34;42;106742
34;28;107670
34;61;108016
34;19;108049
34;8;193516
35;5;30245
35;32;53153
36;32;4668
36;61;4699
36;46;5047
36;15;5179
36;64;5698
36;38;6185
36;31;92042
36;43;92082
36;12;92108
36;57;93385
36;1;94398
38;25;4116
38;36;97558
38;60;98233
38;32;103956
38;11;177825
43;12;36323
43;19;36334
43;32;88063
43;31;90205
43;76;96830
43;4;105500
45;61;1899
45;74;2583
45;75;2865
45;76;4015
45;33;5367
45;32;5382
45;47;5407
45;46;5433
45;68;5739
45;49;6814
45;26;8360
45;41;8384
45;31;8407
45;48;12501
45;63;15100
45;24;15128
45;42;15443
45;29;17129
45;28;18145
45;52;18230
45;57;96005
45;21;99516
45;27;102995
45;60;108074
45;19;108109
45;22;109112
45;8;132010
45;66;133129
46;41;13291
47;34;11246
47;45;11293
47;49;36912
47;13;37044
47;63;37375
47;59;56688
47;32;89827
47;27;89886
47;57;90071
47;17;90446
47;31;90499
47;36;90557
47;22;93215
47;64;97157
47;16;98056
47;42;99182
47;55;100516
47;4;101500
47;76;101800
47;60;109663
47;12;109716
47;19;115649
47;28;116081
47;61;179820
47;11;180479
47;38;181467
47;3;185895
47;56;189224
47;65;203495
49;45;8560
49;15;10327
49;29;193288
49;8;193299
49;17;201661
51;43;16953
52;69;12949
52;34;13121
52;32;13952
52;63;15400
52;28;17807
52;45;17828
52;36;17865
52;49;19172
52;70;19201
52;5;29821
52;9;30145
52;12;31203
52;7;31226
55;76;97629
55;14;100292
55;24;180096
55;60;195918
56;17;53377
56;60;214222
57;32;180764
59;64;37922
59;56;91352
59;74;93032
59;36;95936
59;60;97483
59;19;97498
59;47;98025
59;55;99239
59;64;99712
59;8;101845
59;63;117059
60;76;99954
60;59;99965
60;36;142300
60;55;195700
60;56;195711
61;3;3380
61;36;3394
61;58;3415
61;33;17220
61;32;23453
61;21;23640
61;24;24043
61;43;24062
63;65;10739
64;47;97212
64;8;204106
65;63;10573
65;52;12648
65;36;138016
69;10;41086
69;1;41199
69;39;194215
69;63;194223
71;4;103523
74;28;14199
74;34;101513
74;36;104068
75;41;5906
75;12;91838
76;17;96293
76;55;97218
76;43;97374
76;56;97544
76;60;109730
