# Format: user_id;group_id;time_added
1;1000;51470
1;350;53287
1;41;51492
3;1001;121432
3;350;100585
3;93;120950
3;4;120790
8;340;193790
8;350;186159
8;47;185810
10;1002;41038
10;1000;41027
10;21;91184
10;51;91137
10;41;41050
10;4;40856
15;654;35424
17;1003;201571
17;4;201048
22;1002;190344
22;1000;11924
22;21;183697
22;51;107117
22;350;88556
22;654;195741
22;700;185276
22;93;195116
25;51;184997
25;16;185148
29;340;193727
29;1003;193751
29;21;193774
29;350;5561
29;654;11418
29;655;12606
29;267;206705
30;21;108087
30;51;110670
30;656;108490
30;41;108172
32;1000;53931
32;1001;117012
32;21;6033
32;51;6001
32;350;5938
32;653;203462
32;655;203577
32;93;6250
32;16;6058
32;41;6091
32;4;53885
33;1004;212181
33;350;4724
33;654;12128
33;16;53849
33;41;53866
34;340;93649
34;1003;108451
36;1005;184719
38;51;6566
45;1003;108195
45;1000;192521
45;21;3270
45;51;109212
45;93;1124
45;267;193213
49;21;8852
49;93;8871
52;1006;13514
52;1007;13358
52;1008;13938
52;21;17962
52;51;17940
52;16;13984
57;1009;103087
57;1010;106071
57;21;181094
57;51;22041
57;350;103071
57;16;181086
57;4;181103
59;1011;118617
59;21;98055
59;51;91812
59;700;138217
59;30;100279
59;16;96268
59;41;91800
59;438;100250
63;380;18297
64;51;186143
64;350;186094
65;84;9059
65;51;197025
65;93;116059
65;16;15500
68;350;7355
69;340;195766
69;1002;11203
69;1000;13373
69;21;10517
69;41;47507
69;4;47493
71;47;203735
72;672;36697
74;265;93601
74;438;131730
